year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2007,9,25,  ,  ,     ,35.055,137.698,27.0,5.6,258.0,18.0,132.0,52,20,0.007,604800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,8,27,  ,  ,     ,35.257,138.065,26.0,5.7,231.0,12.0,105.0,28,49,0.009,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,1,19,  ,  ,     ,34.884,137.418,28.0,5.4,267.0,1.0,142.0,13,27,0.011,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005,7,20,  ,  ,     ,34.929,137.718,29.0,5.7,258.0,30.0,129.0,41,41,0.008,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,1,16,  ,  ,     ,34.944,137.22301,25.0,5.5,249.0,8.0,124.0,30,29,0.006,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,12,17,  ,  ,     ,34.964,137.32401,35.0,5.8,246.0,36.0,116.0,30,29,0.018,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,2,12,  ,  ,     ,35.025,137.49001,16.0,5.5,229.0,7.0,104.0,39,28,0.004,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,5,29,  ,  ,     ,34.83,137.718,31.0,6.0,260.0,3.0,135.0,80,50,0.007,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,12,31,  ,  ,     ,34.909,137.791,22.0,5.8,270.0,32.0,140.0,78,45,0.005,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008,6,15,  ,  ,     ,34.373,136.44701,25.0,5.8,221.0,17.0,96.0,53,34,0.009,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,10,16,  ,  ,     ,34.809,136.98,12.0,5.6,221.0,23.0,42.0,48,45,0.003,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
