,index,year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate,depth,time,ID,date,start,end,mid_time_deciyear,type,Named_SSEs,Start,End,Average date of GPS maximum speed,Date of maximum moment rate,Maximum moment rate,Total moment released,start_yr,start_doy,start_dec_year,end_yr,end_doy,end_dec_year,Mw_Est,cent_long,cent_lat,Event,Start_year,Start_month,Start_day,End_year,End_month,End_day,Duration,Lon_geom,Lat_geom,Z_geom,Lon_pot,Lat_pot,Z_pot,Lon_mom,Lat_mom,Z_mom,Mw,Area,Potency,Moment,Max_slip,Mean_slip,Max_slip_rate,Mean_slip_rate,Start_time,End_time,year_time,SSE_number_michel2019,min_start,max_start,min_end,max_end,len,wid,str,M0,dur,Mw_error,Duration_error,Longitude,Latitude,Depth,Time,Aseismic_percent
48,136.0,1997.0,11.0,26.0,,,,34.954,137.013,26.81,6.06,213.0,17.8,89.9,112.0,33.0,0.011,1382400.0,Okada2022a-SSE,Okada et al. (2022),2022-04-05,26.81,1997-11-26 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,214.0,1997.0,11.0,27.0,,,,25.992,128.33299,13.1,5.94,236.0,10.0,89.0,60.0,39.0,0.011,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,13.1,1997-11-27 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,215.0,1997.0,11.0,27.0,,,,28.352,130.845,4.1,6.15,213.0,17.0,90.0,33.0,40.0,0.039,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,4.1,1997-11-27 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,213.0,1997.0,12.0,14.0,,,,24.0,123.285,26.6,6.49,245.0,25.0,138.0,47.0,40.0,0.09,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,26.6,1997-12-14 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,21.0,1997.0,12.0,23.0,,,,32.39472,132.07602,13.988,6.6,197.4,29.8,88.2,69.0,58.0,0.086,44928000.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31,13.988,1997-12-23 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,1998.0,1.0,1.0,,,,17.26,-100.11,,6.65,,,,,,,15120000.0,,Lowry et al. (2001),,32.5,1998-01-01 00:00:00.000000,,,,,,long_term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,816.0,1998.0,1.0,5.0,,,,33.857,134.27699,25.1,5.88,256.0,12.0,144.0,84.0,36.0,0.007,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,25.1,1998-01-05 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,212.0,1998.0,1.0,17.0,,,,30.535,131.28101,24.6,6.05,200.0,21.0,83.0,20.0,45.0,0.04,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,24.6,1998-01-17 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,815.0,1998.0,1.0,19.0,,,,33.554,135.461,21.3,5.75,283.0,17.0,166.0,54.0,34.0,0.007,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,21.3,1998-01-19 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,135.0,1998.0,1.0,23.0,,,,33.589,132.692,27.007,6.05,203.1,13.7,82.6,69.0,45.0,0.012,259200.0,Okada2022a-SSE,Okada et al. (2022),2022-04-05,27.007,1998-01-23 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,813.0,1998.0,1.0,30.0,,,,34.772,138.619,15.5,5.99,242.0,8.0,93.0,101.0,38.0,0.008,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,15.5,1998-01-30 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,11.0,1998.0,2.0,21.0,,,,35.793,142.151,10.9,6.21,194.0,14.0,64.0,39.0,42.0,0.04,4492800.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,10.9,1998-02-21 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6.0,1998.0,2.0,24.0,,,,34.594,141.62,9.6,6.29,279.0,9.0,122.0,40.0,40.0,0.053,86400.0,Nishimura2021b-SSE,Nishimura (2021),2021-08-30,9.6,1998-02-24 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,7.0,1998.0,3.0,4.0,,,,35.911,140.131,35.8,5.96,255.0,25.0,129.0,44.0,48.0,0.013,6393600.0,Nishimura2021b-SSE,Nishimura (2021),2021-08-30,35.8,1998-03-04 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,210.0,1998.0,3.0,14.0,,,,23.767,125.719,10.2,6.61,244.0,12.0,85.0,35.0,40.0,0.182,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,10.2,1998-03-14 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,209.0,1998.0,4.0,3.0,,,,27.964,130.327,8.6,6.07,216.0,14.0,119.0,22.0,38.0,0.044,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,8.6,1998-04-03 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,812.0,1998.0,4.0,10.0,,,,34.64,136.534,29.5,5.77,214.0,13.0,75.0,47.0,34.0,0.009,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,29.5,1998-04-10 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,811.0,1998.0,5.0,7.0,,,,33.642,133.265,29.5,6.04,247.0,7.0,129.0,63.0,35.0,0.016,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,29.5,1998-05-07 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,208.0,1998.0,6.0,28.0,,,,24.172,124.359,28.7,6.42,268.0,23.0,121.0,87.0,38.0,0.039,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,28.7,1998-06-28 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
